date,current_energy_generation,realized_load
2015-01-01 00:00:00+00:00,12195.333333333334,11424.09375
2015-01-02 00:00:00+00:00,14618.424479166666,13423.6796875
2015-01-03 00:00:00+00:00,13625.2109375,12661.630208333334
2015-01-04 00:00:00+00:00,12745.78125,12272.270833333334
2015-01-05 00:00:00+00:00,14732.705729166666,14900.8828125
2015-01-06 00:00:00+00:00,14812.1171875,14947.098958333334
2015-01-07 00:00:00+00:00,16227.065104166666,16166.359375
2015-01-08 00:00:00+00:00,17083.440104166668,16370.015625
2015-01-09 00:00:00+00:00,16965.286458333332,16151.854166666666
2015-01-10 00:00:00+00:00,14674.526041666666,13815.7890625
2015-01-11 00:00:00+00:00,13919.229166666666,12991.794270833334
2015-01-12 00:00:00+00:00,15370.486979166666,16417.671875
2015-01-13 00:00:00+00:00,15408.200520833334,16207.0078125
2015-01-14 00:00:00+00:00,15061.90625,16214.611979166666
2015-01-15 00:00:00+00:00,17107.932291666668,16458.994791666668
2015-01-16 00:00:00+00:00,15791.90625,15965.614583333334
2015-01-17 00:00:00+00:00,14049.565104166666,13808.138020833334
2015-01-18 00:00:00+00:00,13659.111979166666,12964.8984375
2015-01-19 00:00:00+00:00,15175.338541666666,16297.114583333334
2015-01-20 00:00:00+00:00,15535.994791666666,16623.708333333332
2015-01-21 00:00:00+00:00,15819.677083333334,16614.013020833332
2015-01-22 00:00:00+00:00,15877.880208333334,16727.9296875
2015-01-23 00:00:00+00:00,15389.713541666666,16459.682291666668
2015-01-24 00:00:00+00:00,14557.760416666666,14443.080729166666
2015-01-25 00:00:00+00:00,13601.041666666666,13185.015625
2015-01-26 00:00:00+00:00,16566.7890625,16521.7578125
2015-01-27 00:00:00+00:00,16736.3046875,16574.739583333332
2015-01-28 00:00:00+00:00,17351.296875,16801.270833333332
2015-01-29 00:00:00+00:00,16982.25,16634.807291666668
2015-01-30 00:00:00+00:00,15355.677083333334,16276.692708333334
2015-01-31 00:00:00+00:00,14354.002604166666,13961.455729166666
2015-02-01 00:00:00+00:00,13516.963541666666,13051.994791666666
2015-02-02 00:00:00+00:00,16505.7109375,16641.166666666668
2015-02-03 00:00:00+00:00,16233.494791666666,16887.614583333332
2015-02-04 00:00:00+00:00,15942.861979166666,16941.567708333332
2015-02-05 00:00:00+00:00,16485.924479166668,16910.526041666668
2015-02-06 00:00:00+00:00,16573.645833333332,16634.7421875
2015-02-07 00:00:00+00:00,14812.408854166666,14468.322916666666
2015-02-08 00:00:00+00:00,14336.856770833334,13364.106770833334
2015-02-09 00:00:00+00:00,16949.028645833332,16652.778645833332
2015-02-10 00:00:00+00:00,16223.236979166666,16658.359375
2015-02-11 00:00:00+00:00,15723.455729166666,16625.3671875
2015-02-12 00:00:00+00:00,15768.494791666666,16594.734375
2015-02-13 00:00:00+00:00,16131.9296875,16261.596354166666
2015-02-14 00:00:00+00:00,14524.458333333334,13984.9140625
2015-02-15 00:00:00+00:00,13858.760416666666,12952.6953125
2015-02-16 00:00:00+00:00,16137.692708333334,15802.723958333334
2015-02-17 00:00:00+00:00,15779.705729166666,16464.71875
2015-02-18 00:00:00+00:00,16344.057291666666,16568.1875
2015-02-19 00:00:00+00:00,17172.7109375,16633.221354166668
2015-02-20 00:00:00+00:00,16871.955729166668,16173.963541666666
2015-02-21 00:00:00+00:00,14421.583333333334,13873.307291666666
2015-02-22 00:00:00+00:00,13377.955729166666,12930.109375
2015-02-23 00:00:00+00:00,16613.697916666668,16415.78125
2015-02-24 00:00:00+00:00,16927.453125,16504.778645833332
2015-02-25 00:00:00+00:00,15897.6015625,16278.0546875
2015-02-26 00:00:00+00:00,16704.7890625,16266.049479166666
2015-02-27 00:00:00+00:00,16193.958333333334,16118.734375
2015-02-28 00:00:00+00:00,14557.330729166666,13822.966145833334
2015-03-01 00:00:00+00:00,14783.333333333334,12858.203125
2015-03-02 00:00:00+00:00,17685.401041666668,15984.65625
2015-03-03 00:00:00+00:00,17441.9375,16254.588541666666
2015-03-04 00:00:00+00:00,17206.393229166668,16389.018229166668
2015-03-05 00:00:00+00:00,16424.75,16269.731770833334
2015-03-06 00:00:00+00:00,15986.408854166666,15921.9921875
2015-03-07 00:00:00+00:00,14664.7421875,13564.596354166666
2015-03-08 00:00:00+00:00,13629.239583333334,12249.2734375
2015-03-09 00:00:00+00:00,15400.588541666666,15472.484375
2015-03-10 00:00:00+00:00,16056.278645833334,15895.3125
2015-03-11 00:00:00+00:00,15951.473958333334,15843.453125
2015-03-12 00:00:00+00:00,15495.411458333334,15856.153645833334
2015-03-13 00:00:00+00:00,15778.481770833334,15704.888020833334
2015-03-14 00:00:00+00:00,14106.6015625,13668.565104166666
2015-03-15 00:00:00+00:00,13107.278645833334,12629.6875
2015-03-16 00:00:00+00:00,16088.377604166666,15572.596354166666
2015-03-17 00:00:00+00:00,15758.369791666666,15472.473958333334
2015-03-18 00:00:00+00:00,15975.8203125,15382.6328125
2015-03-19 00:00:00+00:00,15742.9296875,15490.908854166666
2015-03-20 00:00:00+00:00,15327.0703125,15342.7109375
2015-03-21 00:00:00+00:00,13904.955729166666,13467.572916666666
2015-03-22 00:00:00+00:00,12820.973958333334,12295.778645833334
2015-03-23 00:00:00+00:00,14937.893229166666,15394.307291666666
2015-03-24 00:00:00+00:00,15176.84375,15591.6875
2015-03-25 00:00:00+00:00,15163.40625,15444.390625
2015-03-26 00:00:00+00:00,15347.197916666666,15671.755208333334
2015-03-27 00:00:00+00:00,15502.8046875,15529.424479166666
2015-03-28 00:00:00+00:00,13249.395833333334,13220.848958333334
2015-03-29 00:00:00+00:00,13424.9375,12369.380208333334
2015-03-30 00:00:00+00:00,15123.052083333334,15594.703125
2015-03-31 00:00:00+00:00,16345.25,15966.747395833334
2015-04-01 00:00:00+00:00,16197.674479166666,15936.059895833334
2015-04-02 00:00:00+00:00,15418.7109375,15513.598958333334
2015-04-03 00:00:00+00:00,12785.192708333334,12104.997395833334
2015-04-04 00:00:00+00:00,12085.71875,12193.3046875
2015-04-05 00:00:00+00:00,11402.619791666666,11205.119791666666
2015-04-06 00:00:00+00:00,11495.296875,11564.153645833334
2015-04-07 00:00:00+00:00,14959.947916666666,15174.479166666666
2015-04-08 00:00:00+00:00,14990.78125,15167.044270833334
2015-04-09 00:00:00+00:00,14925.018229166666,14875.15625
2015-04-10 00:00:00+00:00,14437.802083333334,14588.791666666666
2015-04-11 00:00:00+00:00,13392.536458333334,12625.825520833334
2015-04-12 00:00:00+00:00,12352.638020833334,11537.924479166666
2015-04-13 00:00:00+00:00,14915.317708333334,14919.364583333334
2015-04-14 00:00:00+00:00,15393.109375,15115.8359375
2015-04-15 00:00:00+00:00,15736.731770833334,15063.502604166666
2015-04-16 00:00:00+00:00,14946.515625,14951.955729166666
2015-04-17 00:00:00+00:00,14771.8515625,14772.46875
2015-04-18 00:00:00+00:00,11706.6171875,12452.041666666666
2015-04-19 00:00:00+00:00,11387.3984375,11469.231770833334
2015-04-20 00:00:00+00:00,14687.872395833334,14656.481770833334
2015-04-21 00:00:00+00:00,15371.3203125,14795.354166666666
2015-04-22 00:00:00+00:00,14789.888020833334,14571.559895833334
2015-04-23 00:00:00+00:00,14460.309895833334,14473.221354166666
2015-04-24 00:00:00+00:00,14197.161458333334,14328.575520833334
2015-04-25 00:00:00+00:00,11461.661458333334,12263.494791666666
2015-04-26 00:00:00+00:00,10560.419270833334,11263.325520833334
2015-04-27 00:00:00+00:00,13981.252604166666,14821.8984375
2015-04-28 00:00:00+00:00,14479.559895833334,14981.955729166666
2015-04-29 00:00:00+00:00,14992.697916666666,14901.494791666666
2015-04-30 00:00:00+00:00,14464.765625,14646.861979166666
2015-05-01 00:00:00+00:00,10173.919270833334,11093.325520833334
2015-05-02 00:00:00+00:00,10173.546875,11595.8125
2015-05-03 00:00:00+00:00,11205.21875,11408.955729166666
2015-05-04 00:00:00+00:00,14202.854166666666,14520.8984375
2015-05-05 00:00:00+00:00,14705.666666666666,14984.846354166666
2015-05-06 00:00:00+00:00,14189.177083333334,14824.278645833334
2015-05-07 00:00:00+00:00,14296.6796875,14833.7421875
2015-05-08 00:00:00+00:00,12252.354166666666,14380.848958333334
2015-05-09 00:00:00+00:00,12151.403645833334,12277.890625
2015-05-10 00:00:00+00:00,11441.044270833334,11227.203125
2015-05-11 00:00:00+00:00,13588.140625,14578.528645833334
2015-05-12 00:00:00+00:00,14231.265625,14776.286458333334
2015-05-13 00:00:00+00:00,13631.479166666666,14454.4296875
2015-05-14 00:00:00+00:00,10817.078125,11272.130208333334
2015-05-15 00:00:00+00:00,11269.440104166666,12862.213541666666
2015-05-16 00:00:00+00:00,11201.2109375,11888.296875
2015-05-17 00:00:00+00:00,11083.46875,11085.924479166666
2015-05-18 00:00:00+00:00,13419.033854166666,14397.3515625
2015-05-19 00:00:00+00:00,14017.096354166666,14889.1484375
2015-05-20 00:00:00+00:00,13289.395833333334,14643.799479166666
2015-05-21 00:00:00+00:00,13418.049479166666,14646.6640625
2015-05-22 00:00:00+00:00,12738.6953125,14327.411458333334
2015-05-23 00:00:00+00:00,10319.6484375,11990.815104166666
2015-05-24 00:00:00+00:00,9389.752604166666,10418.864583333334
2015-05-25 00:00:00+00:00,9938.932291666666,10821.018229166666
2015-05-26 00:00:00+00:00,13289.890625,14213.796875
2015-05-27 00:00:00+00:00,13772.119791666666,14538.591145833334
2015-05-28 00:00:00+00:00,14789.619791666666,14595.315104166666
2015-05-29 00:00:00+00:00,13676.098958333334,14337.369791666666
2015-05-30 00:00:00+00:00,11964.0859375,12230.018229166666
2015-05-31 00:00:00+00:00,11902.846354166666,11173.0859375
2015-06-01 00:00:00+00:00,13450.0859375,14214.6875
2015-06-02 00:00:00+00:00,15222.755208333334,14891.846354166666
2015-06-03 00:00:00+00:00,14485.71875,14601.578125
2015-06-04 00:00:00+00:00,12050.369791666666,12425.091145833334
2015-06-05 00:00:00+00:00,13210.71875,13685.90625
2015-06-06 00:00:00+00:00,12115.34375,12128.359375
2015-06-07 00:00:00+00:00,10931.817708333334,11004.21875
2015-06-08 00:00:00+00:00,13706.377604166666,14408.755208333334
2015-06-09 00:00:00+00:00,13770.252604166666,14727.229166666666
2015-06-10 00:00:00+00:00,14019.197916666666,14777.0625
2015-06-11 00:00:00+00:00,14051.580729166666,14629.723958333334
