date,current_energy_generation,realized_load,temperature_celsius
2015-01-01 00:00:00+00:00,12195.333333333334,11424.09375,1.9124999999999999
2015-01-02 00:00:00+00:00,14618.424479166666,13423.6796875,2.5500000000000003
2015-01-03 00:00:00+00:00,13625.2109375,12661.630208333334,1.2916666666666667
2015-01-04 00:00:00+00:00,12745.78125,12272.270833333334,2.4291666666666667
2015-01-05 00:00:00+00:00,14732.705729166666,14900.8828125,0.1416666666666667
2015-01-06 00:00:00+00:00,14812.1171875,14947.098958333334,-2.025
2015-01-07 00:00:00+00:00,16227.065104166666,16166.359375,1.5916666666666668
2015-01-08 00:00:00+00:00,17083.440104166668,16370.015625,5.2
2015-01-09 00:00:00+00:00,16965.286458333332,16151.854166666666,8.016666666666667
2015-01-10 00:00:00+00:00,14674.526041666666,13815.7890625,10.516666666666667
2015-01-11 00:00:00+00:00,13919.229166666666,12991.794270833334,4.079166666666667
2015-01-12 00:00:00+00:00,15370.486979166666,16417.671875,5.579166666666667
2015-01-13 00:00:00+00:00,15408.200520833334,16207.0078125,8.433333333333334
2015-01-14 00:00:00+00:00,15061.90625,16214.611979166666,5.166666666666667
2015-01-15 00:00:00+00:00,17107.932291666668,16458.994791666668,7.308333333333334
2015-01-16 00:00:00+00:00,15791.90625,15965.614583333334,6.25
2015-01-17 00:00:00+00:00,14049.565104166666,13808.138020833334,2.716666666666667
2015-01-18 00:00:00+00:00,13659.111979166666,12964.8984375,0.25
2015-01-19 00:00:00+00:00,15175.338541666666,16297.114583333334,0.3333333333333333
2015-01-20 00:00:00+00:00,15535.994791666666,16623.708333333332,0.4708333333333334
2015-01-21 00:00:00+00:00,15819.677083333334,16614.013020833332,0.029166666666666684
2015-01-22 00:00:00+00:00,15877.880208333334,16727.9296875,0.8416666666666667
2015-01-23 00:00:00+00:00,15389.713541666666,16459.682291666668,1.0041666666666667
2015-01-24 00:00:00+00:00,14557.760416666666,14443.080729166666,0.05833333333333334
2015-01-25 00:00:00+00:00,13601.041666666666,13185.015625,1.5583333333333333
2015-01-26 00:00:00+00:00,16566.7890625,16521.7578125,1.375
2015-01-27 00:00:00+00:00,16736.3046875,16574.739583333332,2.4041666666666663
2015-01-28 00:00:00+00:00,17351.296875,16801.270833333332,2.8166666666666664
2015-01-29 00:00:00+00:00,16982.25,16634.807291666668,1.4458333333333335
2015-01-30 00:00:00+00:00,15355.677083333334,16276.692708333334,1.0583333333333333
2015-01-31 00:00:00+00:00,14354.002604166666,13961.455729166666,0.6958333333333333
2015-02-01 00:00:00+00:00,13516.963541666666,13051.994791666666,0.49583333333333335
2015-02-02 00:00:00+00:00,16505.7109375,16641.166666666668,0.7999999999999999
2015-02-03 00:00:00+00:00,16233.494791666666,16887.614583333332,-0.17916666666666667
2015-02-04 00:00:00+00:00,15942.861979166666,16941.567708333332,-1.8
2015-02-05 00:00:00+00:00,16485.924479166668,16910.526041666668,-2.1458333333333335
2015-02-06 00:00:00+00:00,16573.645833333332,16634.7421875,-1.1833333333333333
2015-02-07 00:00:00+00:00,14812.408854166666,14468.322916666666,-0.8541666666666666
2015-02-08 00:00:00+00:00,14336.856770833334,13364.106770833334,1.4166666666666667
2015-02-09 00:00:00+00:00,16949.028645833332,16652.778645833332,2.8625000000000003
2015-02-10 00:00:00+00:00,16223.236979166666,16658.359375,3.858333333333333
2015-02-11 00:00:00+00:00,15723.455729166666,16625.3671875,1.5999999999999999
2015-02-12 00:00:00+00:00,15768.494791666666,16594.734375,0.7458333333333332
2015-02-13 00:00:00+00:00,16131.9296875,16261.596354166666,1.4708333333333334
2015-02-14 00:00:00+00:00,14524.458333333334,13984.9140625,1.5374999999999999
2015-02-15 00:00:00+00:00,13858.760416666666,12952.6953125,0.6833333333333332
2015-02-16 00:00:00+00:00,16137.692708333334,15802.723958333334,1.3291666666666666
2015-02-17 00:00:00+00:00,15779.705729166666,16464.71875,1.375
2015-02-18 00:00:00+00:00,16344.057291666666,16568.1875,2.4166666666666665
2015-02-19 00:00:00+00:00,17172.7109375,16633.221354166668,0.49583333333333335
2015-02-20 00:00:00+00:00,16871.955729166668,16173.963541666666,4.520833333333333
2015-02-21 00:00:00+00:00,14421.583333333334,13873.307291666666,4.445833333333334
